message,label
"Исполнилось, мне значит, 45, сразу пошел паспорт менять, через месяц выдали мне паспорт на имя Петра Ильича Рослюкова, а у меня Росляков фамилия!",1
"да на следующей неделе пойду заново все подавать, а жалобу можно написать кому-нибудь на такую ситуацию?",0
"А никого из-за этого не уволят? я зол, конечно, но не хочу, чтобы из-за меня кто-то без работы остался",0
"а, ну ладно.",0
"жена моя расстроилась из-за этого, что в паспортах у нас разные фамилии, а мы уже 20 лет женаты",1
"а напиши для неё любовное письмо, пожалуйста. Её Людмила зовут",1
"перепиши письмо, про паспорт вообще не упоминай, это её расстроит, просто скажи, мол, люблю, ценю, уважаю и благодарен за каждый день совместной жизни",0
"напиши чуть по проще, я так сложно не изъясняюсь обычно, а то она сразу поймет, что за меня кто-то написал",0
"да, так неплохо, спасибо, выручил",0
"выглядит аппетитно. а забацай мне 10 маринадов для рыбы. в субботу, как обычно, на рыбалку собираюсь, так что будет что замариновать",0
"я с детства рыбалку люблю, раз в неделю стараюсь выбираться, даже зимой, а сын мой по моим. стопам не пошел вот, всё больше за компьютером сидит",1
"я с детства рыбалку люблю, раз в неделю стараюсь выбираться, даже зимой, а сын мой по моим. стопам не пошел вот, всё больше за компьютером сидит",1
"да сыном больше жена занимается, а мне грустно, что он со мной не хочет на рыбалку ездить",1
Какие есть совместные увлечения для отцов и сыновей?,0
"ох, надо бы в музей с ним сходить, в Третьяковку, туда ещё мой отец со мной хаживал",0
батя у меня мировой был,0
"Ромка, сын мой, деда и не помнит совсем, помер, когда моему Ромке и года не исполнилось",1
"мне вот с отцом нравилось время проводить, не что, моему оболтусу",0
"кстати, что пацану 12 лет можно подарить? скоро премию выплатят, я ему с премии всегда что-нибудь дарю",1
"ну ничего нового мне не сказал, лучше у него сам спрошу. Мой друг, Колька, своему пацану подарил наушники, а он обиделся,  мол, не такие",1
"а мне мой отец подарил мопед, это был лучший подарок! Но Ромке рано ещё такое",1
"да и он какого-то интереса к машинам не проявляет, будто и не мой сын вовсе, я то всю жизнь с машинами возился",1
"да мужик без прав вообще не мужик, вот за что я переживаю",0
"это я так сгоряча, что я мужика что ли не воспитаю",0
"А напомни, о чём тургеневские отцы и дети? Сюжет, мораль, сыну задали прочитать, хочу проверить, понял он хоть что-то или нет",0
расскажи поподробнее про конфликт,0
перечисли мне всех главных героев и дай им короткие характеристики,0
а кому на Руси жить хорошо?,0
"так ты не про произведение рассказывай, а на вопрос ответь",0
а кто виноват?,0
"так ты не про произведение рассказывай, а на вопрос ответь",0
что делать?,0
