message,label
"Исполнилось, мне значит, 45, сразу пошел паспорт менять, через месяц выдали мне паспорт на имя Петра Ильича Рослюкова, а у меня Росляков фамилия!",-1
"да на следующей неделе пойду заново все подавать, а жалобу можно написать кому-нибудь на такую ситуацию?",-1
"А никого из-за этого не уволят? я зол, конечно, но не хочу, чтобы из-за меня кто-то без работы остался",-1
"а, ну ладно.",-1
"жена моя расстроилась из-за этого, что в паспортах у нас разные фамилии, а мы уже 20 лет женаты",-1
"а напиши для неё любовное письмо, пожалуйста. Её Людмила зовут",-1
"перепиши письмо, про паспорт вообще не упоминай, это её расстроит, просто скажи, мол, люблю, ценю, уважаю и благодарен за каждый день совместной жизни",-1
"напиши чуть по проще, я так сложно не изъясняюсь обычно, а то она сразу поймет, что за меня кто-то написал",-1
"да, так неплохо, спасибо, выручил",-1
"сообрази мне 10 рецептов маринада для шашлыка, чтобы в половине был эстрагон, люблю его очень",-1
"выглядит аппетитно. а забацай мне 10 маринадов для рыбы. в субботу, как обычно, на рыбалку собираюсь, так что будет что замариновать",-1
"я с детства рыбалку люблю, раз в неделю стараюсь выбираться, даже зимой, а сын мой по моим. стопам не пошел вот, всё больше за компьютером сидит",-1
"да сыном больше жена занимается, а мне грустно, что он со мной не хочет на рыбалку ездить",-1
Какие есть совместные увлечения для отцов и сыновей?,-1
"ох, надо бы в музей с ним сходить, в Третьяковку, туда ещё мой отец со мной хаживал",-1
батя у меня мировой был,-1
"Ромка, сын мой, деда и не помнит совсем, помер, когда моему Ромке и года не исполнилось",-1
"мне вот с отцом нравилось время проводить, не что, моему оболтусу",-1
"кстати, что пацану 12 лет можно подарить? скоро премию выплатят, я ему с премии всегда что-нибудь дарю",-1
"ну ничего нового мне не сказал, лучше у него сам спрошу. Мой друг, Колька, своему пацану подарил наушники, а он обиделся,  мол, не такие",-1
"а мне мой отец подарил мопед, это был лучший подарок! Но Ромке рано ещё такое",-1
"да и он какого-то интереса к машинам не проявляет, будто и не мой сын вовсе, я то всю жизнь с машинами возился",-1
